attribute name,attribute type,description,requires attunement,weapon bonus,ac bonus,spell bonus,Cantrips,Spell levels once a day,Spell levels 3 times a day,Spell levels infinte times a day,Damage d6,Damage type
Poison resistance,minor,The character attuned to this item gains resistance to Poison damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Acid resistance,minor,The character attuned to this item gains resistance to Acid damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Fire resistance,minor,The character attuned to this item gains resistance to Fire damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Cold resistance,minor,The character attuned to this item gains resistance to Cold damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Radiant resistance,minor,The character attuned to this item gains resistance to Radiant damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Necrotic resistance,minor,The character attuned to this item gains resistance to Necrotic damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Lightning resistance,minor,The character attuned to this item gains resistance to Lightning damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Thunder resistance,minor,The character attuned to this item gains resistance to Thunder damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Force resistance,minor,The character attuned to this item gains resistance to Force damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Pyschic resistance,minor,The character attuned to this item gains resistance to Pyschic damage while touching this item or it is worn,TRUE,0,0,0,0,0,0,0,0,0
Slashing damage,minor,The character attuned to this item adds 1d6 Slashing damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Slashing
Piercing damage,minor,The character attuned to this item adds 1d6 Piercing damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Piercing
Bludgeoning damage,minor,The character attuned to this item adds 1d6 Bludgeoning damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Bludgeoning
Poison damage,minor,The character attuned to this item adds 1d6 Poison damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Poison
Acid damage,minor,The character attuned to this item adds 1d6 Acid damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Acid
Fire damage,minor,The character attuned to this item adds 1d6 Fire damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Fire
Cold damage,minor,The character attuned to this item adds 1d6 Cold damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Cold
Radiant damage,minor,The character attuned to this item adds 1d6 Radiant damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Radiant
Necrotic damage,minor,The character attuned to this item adds 1d6 Necrotic damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Nextrotic
Lightning damage,minor,The character attuned to this item adds 1d6 Lightning damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Lightning
Thunder damage,minor,The character attuned to this item adds 1d6 Thunder damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Thunder
Force damage,minor,The character attuned to this item adds 1d6 Force damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Force
Pyschic damage,minor,The character attuned to this item adds 1d6 Pyschic damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,1,Pyschic
Major Slashing damage,major,The character attuned to this item adds 4d6 Slashing damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Slashing
Major Piercing damage,major,The character attuned to this item adds 4d6 Piercing damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Piercing
Major Bludgeoning damage,major,The character attuned to this item adds 4d6 Bludgeoning damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Bludgeoning
Major Poison damage,major,The character attuned to this item adds 4d6 Poison damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Poison
Major Acid damage,major,The character attuned to this item adds 4d6 Acid damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Acid
Major Fire damage,major,The character attuned to this item adds 4d6 Fire damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Fire
Major Cold damage,major,The character attuned to this item adds 4d6 Cold damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Cold
Major Radiant damage,major,The character attuned to this item adds 4d6 Radiant damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Radiant
Major Necrotic damage,major,The character attuned to this item adds 4d6 Necrotic damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Nextrotic
Major Lightning damage,major,The character attuned to this item adds 4d6 Lightning damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Lightning
Major Thunder damage,major,The character attuned to this item adds 4d6 Thunder damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Thunder
Major Force damage,major,The character attuned to this item adds 4d6 Force damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Force
Major Pyschic damage,major,The character attuned to this item adds 4d6 Pyschic damage when using this item as a weapon,TRUE,0,0,0,0,0,0,0,4,Pyschic
Slashing immunity,major,The character attuned to this item is immune to Slashing damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Piercing immunity,major,The character attuned to this item is immune to Piercing damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Bludgeoning immunity,major,The character attuned to this item is immune to Bludgeoning damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Poison immunity,major,The character attuned to this item is immune to Poison damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Acid immunity,major,The character attuned to this item is immune to Acid damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Fire immunity,major,The character attuned to this item is immune to Fire damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Cold immunity,major,The character attuned to this item is immune to Cold damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Radiant immunity,major,The character attuned to this item is immune to Radiant damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Necrotic immunity,major,The character attuned to this item is immune to Necrotic damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Lightning immunity,major,The character attuned to this item is immune to Lightning damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Thunder immunity,major,The character attuned to this item is immune to Thunder damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Force immunity,major,The character attuned to this item is immune to Force damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Pyschic immunity,major,The character attuned to this item is immune to Pyschic damage while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Seven spell levels once a day,major,"Adds seven spell levels to the ""once a day"" spell level pool",TRUE,0,0,0,0,7,0,0,0,0
Four spell levels thrice a day,major,"Adds four spell levels to the ""three times a day"" spell level pool",TRUE,0,0,0,0,0,4,0,0,0
Two spell levels infinite times a day,major,"Adds two spell levels to the ""infinite times a day"" spell level pool",TRUE,0,0,0,0,0,0,2,0,0
Plus three attack,major,This magic item grants the weilder +3 to their attacks and damage rolls when using this item as the weapon,FALSE,3,0,0,0,0,0,0,0,0
Plus three armor,major,This magic item grants the weilder +3 to their AC when worn,FALSE,0,3,0,0,0,0,0,0,0
Plus three spell casting,major,This magic item grants the weilder +3 to the spell attach and damage rolls when using this item as an arcane focus,FALSE,0,0,3,0,0,0,0,0,0
Sentient,major,"This magic item has a sentience and can communicate with the character that is attuned to it via a telepathic bond. It has an Intelligence, Wisdom, and Charisma of 12 and is proficient in Wisdom saving throws. The item also has blindsight for a 10' radius. This item can take ""Use magic item"" action to use it's own properties on the attuned character's turn.",TRUE,0,0,0,0,0,0,0,0,0
Animated,major,"This magic item gains a speed of 30 and can take appropriate physical actions based on it's form. If the item is not sentient, then the character attuned to it may use their bonus action to direct it",TRUE,0,0,0,0,0,0,0,0,0
Boosted Intelligence,major,The character attuned to this item gains +2 to their Intelligence and their maximum is increased by 2.,TRUE,0,0,0,0,0,0,0,0,0
Boosted Strength,major,The character attuned to this item gains +2 to their Strength and their maximum is increased by 2.,TRUE,0,0,0,0,0,0,0,0,0
Boosted Charisma,major,The character attuned to this item gains +2 to their Charisma and their maximum is increased by 2.,TRUE,0,0,0,0,0,0,0,0,0
Boosted Wisdom,major,The character attuned to this item gains +2 to their Wisdom and their maximum is increased by 2.,TRUE,0,0,0,0,0,0,0,0,0
Boosted Constitution,major,The character attuned to this item gains +2 to their Constitution and their maximum is increased by 2.,TRUE,0,0,0,0,0,0,0,0,0
Boosted Dexterity,major,The character attuned to this item gains +2 to their Dexterity and their maximum is increased by 2.,TRUE,0,0,0,0,0,0,0,0,0
Exhaustion immunity,major,The character attuned to this item is immune to exhaustion while touching or wearing this item,TRUE,0,0,0,0,0,0,0,0,0
Major healing,major,The character attuned to this item adds 4d6 healing when casting healing spells using this item as an arcane focus,TRUE,0,0,0,0,0,0,0,0,0
Awesome crafting,major,"When the character attuned to this item uses a workweek of downtime to craft, an additional three workweek's of production may be added",TRUE,0,0,0,0,0,0,0,0,0
